Latitude,Longitude,Parameter Name,Arithmetic Mean,Units of Measure,City Name,Local Site Name
37.687526,-121.784217,Nitrogen dioxide (NO2),19.704,Parts per billion,Livermore,Livermore
37.687526,-121.784217,Nitrogen dioxide (NO2),9.156471,Parts per billion,Livermore,Livermore
37.687526,-121.784217,Ozone,0.03412,Parts per million,Livermore,Livermore
37.687526,-121.784217,Ozone,0.02968,Parts per million,Livermore,Livermore
37.687526,-121.784217,Ozone,0.02968,Parts per million,Livermore,Livermore
37.687526,-121.784217,Ozone,0.029333,Parts per million,Livermore,Livermore
37.687526,-121.784217,PM2.5 - Local Conditions,4.742718,Micrograms/cubic meter (LC),Livermore,Livermore
37.687526,-121.784217,PM2.5 - Local Conditions,4.856,Micrograms/cubic meter (LC),Livermore,Livermore
37.687526,-121.784217,PM2.5 - Local Conditions,4.856,Micrograms/cubic meter (LC),Livermore,Livermore
37.687526,-121.784217,PM2.5 - Local Conditions,4.856,Micrograms/cubic meter (LC),Livermore,Livermore
37.687526,-121.784217,PM2.5 - Local Conditions,4.856,Micrograms/cubic meter (LC),Livermore,Livermore
37.687526,-121.784217,PM2.5 - Local Conditions,4.856,Micrograms/cubic meter (LC),Livermore,Livermore
37.687526,-121.784217,PM2.5 - Local Conditions,4.856,Micrograms/cubic meter (LC),Livermore,Livermore
37.687526,-121.784217,PM2.5 - Local Conditions,4.856,Micrograms/cubic meter (LC),Livermore,Livermore
37.687526,-121.784217,PM2.5 - Local Conditions,4.856,Micrograms/cubic meter (LC),Livermore,Livermore
37.743065,-122.169935,Carbon monoxide,0.407182,Parts per million,Oakland,Oakland
37.743065,-122.169935,Carbon monoxide,0.411734,Parts per million,Oakland,Oakland
37.743065,-122.169935,Nitrogen dioxide (NO2),19.196667,Parts per billion,Oakland,Oakland
37.743065,-122.169935,Nitrogen dioxide (NO2),9.282726,Parts per billion,Oakland,Oakland
37.743065,-122.169935,Ozone,0.033333,Parts per million,Oakland,Oakland
37.743065,-122.169935,Ozone,0.028983,Parts per million,Oakland,Oakland
37.743065,-122.169935,Ozone,0.028983,Parts per million,Oakland,Oakland
37.743065,-122.169935,Ozone,0.029,Parts per million,Oakland,Oakland
37.743065,-122.169935,PM2.5 - Local Conditions,6.179807,Micrograms/cubic meter (LC),Oakland,Oakland
37.743065,-122.169935,PM2.5 - Local Conditions,6.145682,Micrograms/cubic meter (LC),Oakland,Oakland
37.743065,-122.169935,PM2.5 - Local Conditions,6.145682,Micrograms/cubic meter (LC),Oakland,Oakland
37.743065,-122.169935,PM2.5 - Local Conditions,6.145682,Micrograms/cubic meter (LC),Oakland,Oakland
37.743065,-122.169935,PM2.5 - Local Conditions,6.145682,Micrograms/cubic meter (LC),Oakland,Oakland
37.743065,-122.169935,PM2.5 - Local Conditions,6.145682,Micrograms/cubic meter (LC),Oakland,Oakland
37.743065,-122.169935,PM2.5 - Local Conditions,6.145682,Micrograms/cubic meter (LC),Oakland,Oakland
37.743065,-122.169935,PM2.5 - Local Conditions,6.145682,Micrograms/cubic meter (LC),Oakland,Oakland
37.743065,-122.169935,PM2.5 - Local Conditions,6.145682,Micrograms/cubic meter (LC),Oakland,Oakland
37.814781,-122.282347,Carbon monoxide,0.629643,Parts per million,Oakland,Oakland West
37.814781,-122.282347,Carbon monoxide,0.632935,Parts per million,Oakland,Oakland West
37.814781,-122.282347,Nitrogen dioxide (NO2),22.41,Parts per billion,Oakland,Oakland West
37.814781,-122.282347,Nitrogen dioxide (NO2),11.36067,Parts per billion,Oakland,Oakland West
37.814781,-122.282347,Ozone,0.033817,Parts per million,Oakland,Oakland West
37.814781,-122.282347,Ozone,0.029672,Parts per million,Oakland,Oakland West
37.814781,-122.282347,Ozone,0.029672,Parts per million,Oakland,Oakland West
37.814781,-122.282347,Ozone,0.029492,Parts per million,Oakland,Oakland West
37.814781,-122.282347,PM2.5 - Local Conditions,6.383959,Micrograms/cubic meter (LC),Oakland,Oakland West
37.814781,-122.282347,PM2.5 - Local Conditions,6.351705,Micrograms/cubic meter (LC),Oakland,Oakland West
37.814781,-122.282347,PM2.5 - Local Conditions,6.351705,Micrograms/cubic meter (LC),Oakland,Oakland West
37.814781,-122.282347,PM2.5 - Local Conditions,6.351705,Micrograms/cubic meter (LC),Oakland,Oakland West
37.814781,-122.282347,PM2.5 - Local Conditions,6.351705,Micrograms/cubic meter (LC),Oakland,Oakland West
37.814781,-122.282347,PM2.5 - Local Conditions,6.351705,Micrograms/cubic meter (LC),Oakland,Oakland West
