time,temp_c,humidity_pct,wind_speed_kmh,wind_direction_deg
2024-01-01 00:00:00,14.9,81,5.9,104
2024-01-01 01:00:00,13.4,89,6.6,229
2024-01-01 02:00:00,12.8,91,10.6,235
2024-01-01 03:00:00,12.1,93,7.4,293
2024-01-01 04:00:00,12.1,95,7.0,348
2024-01-01 05:00:00,11.1,96,8.7,17
2024-01-01 06:00:00,10.0,96,6.7,36
2024-01-01 07:00:00,9.6,96,6.9,47
2024-01-01 08:00:00,9.1,95,7.7,62
2024-01-01 09:00:00,9.0,96,8.7,45
2024-01-01 10:00:00,9.1,93,8.7,38
2024-01-01 11:00:00,8.9,90,9.7,42
2024-01-01 12:00:00,9.1,86,12.2,43
2024-01-01 13:00:00,9.9,77,11.7,43
2024-01-01 14:00:00,9.8,76,12.6,37
2024-01-01 15:00:00,9.9,73,13.6,40
2024-01-01 16:00:00,10.5,69,11.6,54
2024-01-01 17:00:00,11.9,64,8.4,50
2024-01-01 18:00:00,13.9,62,10.2,45
2024-01-01 19:00:00,15.8,56,8.0,72
2024-01-01 20:00:00,17.1,55,3.4,162
2024-01-01 21:00:00,17.9,53,6.4,227
2024-01-01 22:00:00,18.1,52,7.4,241
2024-01-01 23:00:00,18.0,53,8.8,251
2024-01-02 00:00:00,17.0,64,7.4,247
2024-01-02 01:00:00,14.1,79,8.0,265
2024-01-02 02:00:00,12.9,83,9.3,298
2024-01-02 03:00:00,12.1,80,11.4,294
2024-01-02 04:00:00,11.6,80,6.3,294
2024-01-02 05:00:00,11.4,80,6.0,17
2024-01-02 06:00:00,10.1,80,10.6,55
2024-01-02 07:00:00,8.4,86,7.4,51
2024-01-02 08:00:00,7.7,86,7.0,12
2024-01-02 09:00:00,7.2,86,8.8,9
2024-01-02 10:00:00,6.8,87,10.9,27
2024-01-02 11:00:00,7.0,86,11.2,48
2024-01-02 12:00:00,7.2,85,11.0,58
2024-01-02 13:00:00,7.7,82,9.7,59
2024-01-02 14:00:00,7.2,84,10.6,62
2024-01-02 15:00:00,7.1,84,11.2,40
2024-01-02 16:00:00,8.5,79,10.5,52
2024-01-02 17:00:00,11.9,72,8.0,72
2024-01-02 18:00:00,14.8,66,7.6,93
2024-01-02 19:00:00,16.2,66,7.9,120
2024-01-02 20:00:00,17.0,70,7.8,146
2024-01-02 21:00:00,17.5,71,6.6,171
2024-01-02 22:00:00,17.8,69,7.8,158
2024-01-02 23:00:00,17.4,72,9.9,161
2024-01-03 00:00:00,16.4,78,8.6,182
2024-01-03 01:00:00,14.1,90,7.6,211
2024-01-03 02:00:00,12.7,95,7.2,233
2024-01-03 03:00:00,12.1,95,9.0,272
2024-01-03 04:00:00,11.1,95,5.0,291
2024-01-03 05:00:00,11.6,93,3.3,264
2024-01-03 06:00:00,11.2,95,0.0,270
2024-01-03 07:00:00,9.8,100,6.5,93
2024-01-03 08:00:00,9.1,100,6.2,100
2024-01-03 09:00:00,9.4,100,6.3,103
2024-01-03 10:00:00,9.7,100,6.5,124
2024-01-03 11:00:00,9.9,100,6.3,114
2024-01-03 12:00:00,10.5,100,9.7,112
2024-01-03 13:00:00,10.6,96,3.1,111
2024-01-03 14:00:00,10.9,95,2.4,117
2024-01-03 15:00:00,10.8,98,6.2,126
2024-01-03 16:00:00,10.8,97,5.8,68
2024-01-03 17:00:00,11.9,91,10.2,48
2024-01-03 18:00:00,13.4,83,8.0,355
2024-01-03 19:00:00,14.6,73,12.9,300
2024-01-03 20:00:00,15.4,63,14.1,276
2024-01-03 21:00:00,15.5,62,16.2,266
2024-01-03 22:00:00,15.9,58,17.1,277
2024-01-03 23:00:00,15.8,57,20.0,278
2024-01-04 00:00:00,14.6,69,17.3,271
2024-01-04 01:00:00,13.5,74,16.3,301
2024-01-04 02:00:00,12.1,72,14.0,325
2024-01-04 03:00:00,11.5,58,20.8,342
2024-01-04 04:00:00,11.4,58,23.7,340
2024-01-04 05:00:00,11.5,59,23.4,329
2024-01-04 06:00:00,11.0,60,24.9,292
2024-01-04 07:00:00,10.2,64,28.7,290
2024-01-04 08:00:00,9.9,65,24.2,298
2024-01-04 09:00:00,8.8,69,19.9,315
2024-01-04 10:00:00,7.9,73,17.4,333
2024-01-04 11:00:00,7.2,76,13.0,332
2024-01-04 12:00:00,6.7,80,10.1,333
2024-01-04 13:00:00,8.4,72,19.0,327
2024-01-04 14:00:00,6.4,83,13.7,27
2024-01-04 15:00:00,5.3,92,10.2,51
2024-01-04 16:00:00,6.1,89,8.0,72
2024-01-04 17:00:00,8.0,84,2.1,31
2024-01-04 18:00:00,10.7,73,3.4,72
2024-01-04 19:00:00,12.8,59,2.5,90
2024-01-04 20:00:00,14.2,56,2.7,337
2024-01-04 21:00:00,15.1,52,3.5,336
2024-01-04 22:00:00,15.9,50,1.8,127
2024-01-04 23:00:00,16.2,52,5.0,159
2024-01-05 00:00:00,15.4,61,5.7,162
2024-01-05 01:00:00,12.6,71,9.8,188
2024-01-05 02:00:00,11.2,76,5.6,195
2024-01-05 03:00:00,12.1,66,1.8,101
2024-01-05 04:00:00,9.1,84,7.3,70
2024-01-05 05:00:00,8.4,84,8.7,48
2024-01-05 06:00:00,7.4,83,8.6,33
2024-01-05 07:00:00,6.8,81,10.2,48
2024-01-05 08:00:00,6.3,80,9.7,45
2024-01-05 09:00:00,6.1,78,11.0,41
2024-01-05 10:00:00,6.3,75,12.3,38
2024-01-05 11:00:00,6.1,75,10.2,32
2024-01-05 12:00:00,6.2,73,11.2,40
2024-01-05 13:00:00,7.0,73,13.4,70
2024-01-05 14:00:00,6.4,77,10.9,63
2024-01-05 15:00:00,6.6,77,11.0,38
2024-01-05 16:00:00,8.2,74,9.4,58
2024-01-05 17:00:00,11.1,68,5.8,68
2024-01-05 18:00:00,12.5,69,5.7,35
2024-01-05 19:00:00,14.6,57,5.2,56
2024-01-05 20:00:00,16.1,54,3.8,49
2024-01-05 21:00:00,16.7,53,3.8,41
2024-01-05 22:00:00,17.2,52,5.6,207
2024-01-05 23:00:00,17.0,57,8.0,275
2024-01-06 00:00:00,16.4,63,6.8,328
2024-01-06 01:00:00,16.4,57,3.2,243
2024-01-06 02:00:00,11.9,82,7.1,240
2024-01-06 03:00:00,11.6,80,5.1,278
2024-01-06 04:00:00,12.1,77,3.2,243
2024-01-06 05:00:00,8.7,90,6.8,335
2024-01-06 06:00:00,7.7,87,9.8,36
2024-01-06 07:00:00,7.1,83,10.7,40
2024-01-06 08:00:00,6.8,79,11.7,34
2024-01-06 09:00:00,6.0,80,10.5,31
2024-01-06 10:00:00,5.1,82,8.7,30
2024-01-06 11:00:00,4.9,80,9.7,42
2024-01-06 12:00:00,5.3,77,10.9,46
2024-01-06 13:00:00,5.4,77,11.2,15
2024-01-06 14:00:00,5.1,75,10.5,16
2024-01-06 15:00:00,5.1,71,12.0,46
2024-01-06 16:00:00,6.8,67,11.0,67
2024-01-06 17:00:00,9.9,64,7.9,66
2024-01-06 18:00:00,13.2,55,9.0,90
2024-01-06 19:00:00,15.5,54,9.8,114
2024-01-06 20:00:00,16.5,72,10.2,157
2024-01-06 21:00:00,16.8,72,10.4,180
2024-01-06 22:00:00,16.9,71,13.3,183
2024-01-06 23:00:00,16.2,72,15.9,167
2024-01-07 00:00:00,15.3,76,13.4,153
2024-01-07 01:00:00,13.4,81,11.1,151
2024-01-07 02:00:00,12.1,89,6.4,164
2024-01-07 03:00:00,12.1,91,6.2,234
2024-01-07 04:00:00,11.9,91,7.0,235
2024-01-07 05:00:00,11.4,93,5.7,252
2024-01-07 06:00:00,10.9,90,5.2,205
2024-01-07 07:00:00,11.1,81,13.9,249
2024-01-07 08:00:00,10.6,84,14.5,277
2024-01-07 09:00:00,11.1,90,14.5,263
2024-01-07 10:00:00,12.1,85,26.1,276
2024-01-07 11:00:00,10.4,87,21.6,314
2024-01-07 12:00:00,9.8,60,32.4,331
2024-01-07 13:00:00,9.9,55,34.6,332
2024-01-07 14:00:00,8.8,60,32.9,302
2024-01-07 15:00:00,8.2,59,28.2,305
2024-01-07 16:00:00,8.7,59,25.4,321
2024-01-07 17:00:00,10.0,55,25.5,331
2024-01-07 18:00:00,11.1,51,30.3,333
2024-01-07 19:00:00,12.4,44,26.2,328
2024-01-07 20:00:00,13.2,41,27.2,316
2024-01-07 21:00:00,13.8,37,29.0,315
2024-01-07 22:00:00,13.6,37,29.5,321
2024-01-07 23:00:00,12.7,39,34.8,320
2024-01-08 00:00:00,10.9,46,39.3,319
2024-01-08 01:00:00,10.1,47,36.7,329
2024-01-08 02:00:00,9.4,47,36.9,328
2024-01-08 03:00:00,8.6,47,35.2,319
2024-01-08 04:00:00,8.0,47,39.0,318
2024-01-08 05:00:00,7.4,49,39.5,313
2024-01-08 06:00:00,7.1,50,31.8,322
2024-01-08 07:00:00,5.8,55,17.0,354
2024-01-08 08:00:00,4.2,68,8.9,21
2024-01-08 09:00:00,3.2,76,6.6,29
2024-01-08 10:00:00,2.7,75,7.2,53
2024-01-08 11:00:00,2.3,71,8.4,47
2024-01-08 12:00:00,1.8,73,7.5,35
2024-01-08 13:00:00,2.0,76,8.9,58
2024-01-08 14:00:00,2.4,68,12.5,44
2024-01-08 15:00:00,2.8,65,11.2,40
2024-01-08 16:00:00,3.5,70,7.7,11
2024-01-08 17:00:00,6.2,64,6.6,351
2024-01-08 18:00:00,9.2,55,6.6,9
2024-01-08 19:00:00,11.8,41,5.8,353
2024-01-08 20:00:00,13.4,34,5.9,308
2024-01-08 21:00:00,14.4,29,4.8,312
2024-01-08 22:00:00,14.9,29,5.2,282
2024-01-08 23:00:00,14.9,30,7.4,241
2024-01-09 00:00:00,13.8,43,6.9,242
2024-01-09 01:00:00,11.2,58,9.3,216
2024-01-09 02:00:00,9.6,68,7.4,166
2024-01-09 03:00:00,8.9,67,9.4,94
2024-01-09 04:00:00,7.6,63,12.5,57
2024-01-09 05:00:00,6.1,62,12.6,31
2024-01-09 06:00:00,5.1,69,8.8,19
2024-01-09 07:00:00,4.1,77,5.6,40
2024-01-09 08:00:00,4.2,68,9.7,27
2024-01-09 09:00:00,4.0,66,11.0,32
2024-01-09 10:00:00,4.0,66,10.5,27
2024-01-09 11:00:00,3.7,67,11.0,19
2024-01-09 12:00:00,3.6,67,11.1,29
2024-01-09 13:00:00,4.8,61,11.2,48
2024-01-09 14:00:00,4.2,63,10.7,48
2024-01-09 15:00:00,4.0,62,12.5,51
2024-01-09 16:00:00,5.6,58,10.5,59
2024-01-09 17:00:00,8.8,54,4.7,67
2024-01-09 18:00:00,11.7,51,3.1,69
2024-01-09 19:00:00,13.8,48,2.7,157
2024-01-09 20:00:00,15.1,50,5.8,202
2024-01-09 21:00:00,15.9,47,6.2,234
2024-01-09 22:00:00,16.4,45,8.6,248
2024-01-09 23:00:00,16.4,46,10.5,221
2024-01-10 00:00:00,14.9,55,10.2,222
2024-01-10 01:00:00,12.2,69,9.2,222
2024-01-10 02:00:00,9.9,79,7.4,231
2024-01-10 03:00:00,9.0,79,4.9,253
2024-01-10 04:00:00,9.2,75,1.1,90
2024-01-10 05:00:00,6.4,88,7.4,51
2024-01-10 06:00:00,5.5,88,8.7,45
2024-01-10 07:00:00,4.9,87,7.9,39
2024-01-10 08:00:00,4.6,86,8.2,49
2024-01-10 09:00:00,4.4,87,8.7,66
2024-01-10 10:00:00,4.1,89,7.9,60
2024-01-10 11:00:00,3.8,90,7.8,68
2024-01-10 12:00:00,3.5,90,7.1,60
2024-01-10 13:00:00,5.2,87,9.0,53
2024-01-10 14:00:00,4.9,86,9.6,70
2024-01-10 15:00:00,4.7,85,11.2,45
2024-01-10 16:00:00,6.2,79,8.4,47
2024-01-10 17:00:00,9.0,73,4.4,35
2024-01-10 18:00:00,11.8,64,2.6,56
2024-01-10 19:00:00,13.5,63,3.6,233
2024-01-10 20:00:00,15.1,57,6.6,257
2024-01-10 21:00:00,16.1,48,16.2,269
2024-01-10 22:00:00,15.3,50,22.7,259
2024-01-10 23:00:00,14.8,54,19.8,254
2024-01-11 00:00:00,14.0,62,16.6,246
2024-01-11 01:00:00,12.1,79,8.7,225
2024-01-11 02:00:00,12.1,76,3.4,212
2024-01-11 03:00:00,9.6,89,7.6,109
2024-01-11 04:00:00,9.1,91,10.4,110
