Latitude,Longitude,Parameter Name,Arithmetic Mean,Units of Measure,Local Site Name,Address,City Name,County Name
37.68975,-121.77155,Formaldehyde,3.326667,Parts per billion Carbon,Livermore Portola,2451 Portola Ave,Livermore,Alameda
37.68975,-121.77155,Acetaldehyde,1.706667,Parts per billion Carbon,Livermore Portola,2451 Portola Ave,Livermore,Alameda
37.68975,-121.77155,Propionaldehyde,0.406667,Parts per billion Carbon,Livermore Portola,2451 Portola Ave,Livermore,Alameda
37.68975,-121.77155,Butyraldehyde,0.158233,Parts per billion Carbon,Livermore Portola,2451 Portola Ave,Livermore,Alameda
37.68975,-121.77155,Hexanaldehyde,0.056522,Parts per billion Carbon,Livermore Portola,2451 Portola Ave,Livermore,Alameda
37.68975,-121.77155,Valeraldehyde,0.116667,Parts per billion Carbon,Livermore Portola,2451 Portola Ave,Livermore,Alameda
37.68975,-121.77155,Crotonaldehyde,0.006667,Parts per billion Carbon,Livermore Portola,2451 Portola Ave,Livermore,Alameda
37.68975,-121.77155,Acetone,3.25,Parts per billion Carbon,Livermore Portola,2451 Portola Ave,Livermore,Alameda
37.68975,-121.77155,Methyl ethyl ketone,0.186667,Parts per billion Carbon,Livermore Portola,2451 Portola Ave,Livermore,Alameda
37.68975,-121.77155,Benzaldehyde,0.196667,Parts per billion Carbon,Livermore Portola,2451 Portola Ave,Livermore,Alameda
38.342606,-120.764426,Ozone,0.048417,Parts per million,Jackson-Clinton Road," 201 CLINTON ROAD, JACKSON, CA 95642",Jackson,Amador
38.342606,-120.764426,Wind Speed - Scalar,2.08487,Knots,Jackson-Clinton Road," 201 CLINTON ROAD, JACKSON, CA 95642",Jackson,Amador
38.342606,-120.764426,Wind Speed - Resultant,1.793436,Knots,Jackson-Clinton Road," 201 CLINTON ROAD, JACKSON, CA 95642",Jackson,Amador
38.342606,-120.764426,Wind Direction - Resultant,162.871123,Degrees Compass,Jackson-Clinton Road," 201 CLINTON ROAD, JACKSON, CA 95642",Jackson,Amador
38.342606,-120.764426,Outdoor Temperature,57.987875,Degrees Fahrenheit,Jackson-Clinton Road," 201 CLINTON ROAD, JACKSON, CA 95642",Jackson,Amador
38.342606,-120.764426,Virtual Temperature,57.877226,Degrees Fahrenheit,Jackson-Clinton Road," 201 CLINTON ROAD, JACKSON, CA 95642",Jackson,Amador
38.342606,-120.764426,Relative Humidity ,63.459543,Percent relative humidity,Jackson-Clinton Road," 201 CLINTON ROAD, JACKSON, CA 95642",Jackson,Amador
38.690662,-120.072754,Wind Speed - Scalar,3.641262,Knots,Kirkwood,"Loop Road, Kirkwood, CA",,Amador
38.690662,-120.072754,Wind Speed - Resultant,2.657906,Knots,Kirkwood,"Loop Road, Kirkwood, CA",,Amador
38.690662,-120.072754,Wind Direction - Resultant,185.964332,Degrees Compass,Kirkwood,"Loop Road, Kirkwood, CA",,Amador
38.690662,-120.072754,Peak Wind Gust,11.75705,Knots,Kirkwood,"Loop Road, Kirkwood, CA",,Amador
38.690662,-120.072754,Std Dev Hz Wind Direction,39.581114,Degrees Compass,Kirkwood,"Loop Road, Kirkwood, CA",,Amador
38.690662,-120.072754,Outdoor Temperature,38.197744,Degrees Fahrenheit,Kirkwood,"Loop Road, Kirkwood, CA",,Amador
39.76168,-121.84047,Carbon monoxide,0.327148,Parts per million,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Nitric oxide (NO),1.874833,Parts per billion,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Nitrogen dioxide (NO2),10.020435,Parts per billion,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Oxides of nitrogen (NOx),6.383821,Parts per billion,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,"1,3-Butadiene",0.13913,Parts per billion Carbon,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Acrolein - Unverified,0.734348,Parts per billion Carbon,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Acetone,10.213043,Parts per billion Carbon,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Acetonitrile,0.317391,Parts per billion Carbon,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Acrylonitrile,0.5,Parts per billion Carbon,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Dichloromethane,0.108696,Parts per billion Carbon,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Chloroform,0.004348,Parts per billion Carbon,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Carbon tetrachloride,0.1,Parts per billion Carbon,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Trichlorofluoromethane,0.2,Parts per billion Carbon,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Methyl chloroform,0.0,Parts per billion Carbon,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Tetrachloroethylene,0.0,Parts per billion Carbon,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Bromomethane,0.0,Parts per billion Carbon,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,"1,1,2-Trichloro-1,2,2-trifluoroethane",0.1,Parts per billion Carbon,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Dichlorodifluoromethane,0.495652,Parts per billion Carbon,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Trichloroethylene,0.02,Parts per billion Carbon,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,"trans-1,3-Dichloropropene",0.15,Parts per billion Carbon,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,"cis-1,3-Dichloropropene",0.15,Parts per billion Carbon,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Ozone,0.045573,Parts per million,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,m/p Xylene,0.83913,Parts per billion Carbon,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Benzene,0.730435,Parts per billion Carbon,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Toluene,1.082609,Parts per billion Carbon,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Ethylbenzene,0.8,Parts per billion Carbon,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,o-Xylene,0.4,Parts per billion Carbon,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Styrene,0.4,Parts per billion Carbon,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Wind Speed - Scalar,3.059432,Knots,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Wind Speed - Resultant,2.730826,Knots,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Wind Direction - Resultant,183.932587,Degrees Compass,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Outdoor Temperature,66.249965,Degrees Fahrenheit,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Virtual Temperature,64.212803,Degrees Fahrenheit,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Relative Humidity ,53.462212,Percent relative humidity,Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,PM10 Total 0-10um STP,19.637937,Micrograms/cubic meter (25 C),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,PM10 - LC,19.761745,Micrograms/cubic meter (LC),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,PM2.5 - Local Conditions,8.157616,Micrograms/cubic meter (LC),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Antimony PM2.5 LC,0.020511,Micrograms/cubic meter (LC),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Arsenic PM2.5 LC,0.001,Micrograms/cubic meter (LC),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Aluminum PM2.5 LC,0.139213,Micrograms/cubic meter (LC),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Barium PM2.5 LC,0.003681,Micrograms/cubic meter (LC),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Bromine PM2.5 LC,0.002319,Micrograms/cubic meter (LC),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Calcium PM2.5 LC,0.050383,Micrograms/cubic meter (LC),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Chromium PM2.5 LC,0.002106,Micrograms/cubic meter (LC),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Cobalt PM2.5 LC,0.002,Micrograms/cubic meter (LC),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Copper PM2.5 LC,0.007213,Micrograms/cubic meter (LC),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Chlorine PM2.5 LC,0.109021,Micrograms/cubic meter (LC),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Iron PM2.5 LC,0.081255,Micrograms/cubic meter (LC),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Lead PM2.5 LC,0.002383,Micrograms/cubic meter (LC),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Manganese PM2.5 LC,0.002362,Micrograms/cubic meter (LC),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Molybdenum PM2.5 LC,0.003,Micrograms/cubic meter (LC),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Nickel PM2.5 LC,0.003979,Micrograms/cubic meter (LC),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Mercury PM2.5 LC,0.002,Micrograms/cubic meter (LC),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Phosphorus PM2.5 LC,0.005894,Micrograms/cubic meter (LC),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Selenium PM2.5 LC,0.001,Micrograms/cubic meter (LC),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Tin PM2.5 LC,0.022277,Micrograms/cubic meter (LC),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Titanium PM2.5 LC,0.006489,Micrograms/cubic meter (LC),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
39.76168,-121.84047,Vanadium PM2.5 LC,0.002,Micrograms/cubic meter (LC),Chico-East Avenue,"984 East Avenue, Chico",Chico,Butte
