sensor_id,Latitude,Longitude,Fwy,Dir,dist_to_no2_monitor_km,no2_baseline_annual,monitor_site
716939,34.041407,-118.218373,5,S,2.91,29.330532,Los Angeles-North Main Street
759700,34.020961,-118.195456,5,S,5.84,29.330532,Los Angeles-North Main Street
716925,33.995023,-118.144513,5,N,7.21,27.433058,Pico Rivera #2
715930,33.971763,-118.122905,5,N,6.6,27.433058,Pico Rivera #2
715938,34.002541,-118.150997,5,N,7.65,27.433058,Pico Rivera #2
716908,33.911074,-118.071686,5,S,11.04,27.433058,Pico Rivera #2
716912,33.920763,-118.082501,5,S,10.04,27.433058,Pico Rivera #2
759707,34.025109,-118.20517,5,S,5.03,29.330532,Los Angeles-North Main Street
716930,34.013529,-118.166192,5,S,8.13,29.330532,Los Angeles-North Main Street
764232,33.939747,-118.095531,5,N,8.23,27.433058,Pico Rivera #2
716918,33.958225,-118.11239,5,S,7.06,27.433058,Pico Rivera #2
716934,34.019879,-118.181588,5,S,6.66,29.330532,Los Angeles-North Main Street
763980,33.992211,-118.142079,5,S,7.07,27.433058,Pico Rivera #2
715898,33.880183,-118.021787,5,S,8.11,20.272145,La Habra
759542,33.95891,-118.113036,5,N,7.04,27.433058,Pico Rivera #2
715947,34.015325,-118.17127,5,S,7.66,29.330532,Los Angeles-North Main Street
762685,34.01717,-118.05398,605,S,1.54,27.433058,Pico Rivera #2
716819,34.009316,-118.057906,605,N,0.98,27.433058,Pico Rivera #2
717864,33.909354,-118.104924,605,N,9.28,24.28477,Compton
717940,34.028108,-118.035925,605,N,3.6,27.433058,Pico Rivera #2
716800,33.958124,-118.087014,605,N,6.05,27.433058,Pico Rivera #2
717912,33.994073,-118.069196,605,S,1.8,27.433058,Pico Rivera #2
717865,33.894293,-118.104912,605,S,9.27,24.28477,Compton
762678,33.985594,-118.072012,605,S,2.77,27.433058,Pico Rivera #2
766851,33.902407,-118.105114,605,N,9.22,24.28477,Compton
763464,33.903565,-118.10513,605,N,9.22,24.28477,Compton
717859,33.886248,-118.104435,605,S,9.37,34.812121,Long Beach-Route 710 Near Road
717938,34.026653,-118.038537,605,N,3.31,27.433058,Pico Rivera #2
717907,33.992205,-118.069649,605,S,2.01,27.433058,Pico Rivera #2
717885,33.958207,-118.087265,605,S,6.04,27.433058,Pico Rivera #2
717884,33.950974,-118.091381,605,S,6.92,27.433058,Pico Rivera #2
717879,33.942882,-118.09562,605,N,7.9,27.433058,Pico Rivera #2
717882,33.951332,-118.090846,605,N,6.87,27.433058,Pico Rivera #2
737152,33.917606,-118.104793,605,S,9.42,24.28477,Compton
769513,33.936927,-118.098751,605,N,8.62,27.433058,Pico Rivera #2
717892,33.966404,-118.083604,605,N,5.07,27.433058,Pico Rivera #2
717896,33.974742,-118.079877,605,S,4.09,27.433058,Pico Rivera #2
717876,33.926206,-118.1036,605,N,9.76,24.28477,Compton
716829,34.030914,-118.031047,605,N,4.14,27.433058,Pico Rivera #2
717875,33.926206,-118.1036,605,N,9.76,24.28477,Compton
717933,34.026807,-118.038666,605,S,3.31,27.433058,Pico Rivera #2
716788,33.903565,-118.10513,605,N,9.22,24.28477,Compton
717833,33.830177,-118.08363,605,S,9.03,21.307324,Signal Hill (LBSH)
762637,34.028108,-118.035925,605,N,3.6,27.433058,Pico Rivera #2
717929,34.018698,-118.051437,605,N,1.83,27.433058,Pico Rivera #2
717925,34.01717,-118.05398,605,S,1.54,27.433058,Pico Rivera #2
717881,33.951332,-118.090846,605,N,6.87,27.433058,Pico Rivera #2
717871,33.902261,-118.105349,605,S,9.2,24.28477,Compton
717867,33.900526,-118.105238,605,S,9.21,24.28477,Compton
717844,33.84679,-118.092752,605,N,9.33,21.307324,Signal Hill (LBSH)
762679,33.9855,-118.071807,605,N,2.77,27.433058,Pico Rivera #2
760130,33.928424,-118.29444,105,E,8.78,24.28477,Compton
760166,33.928407,-118.277789,105,E,7.36,24.28477,Compton
760100,33.924855,-118.32862,105,E,11.7,24.28477,Compton
760289,33.912001,-118.157276,105,E,4.56,24.28477,Compton
773656,33.933059,-118.356686,105,E,14.43,24.28477,Compton
760112,33.925162,-118.323479,105,E,11.25,24.28477,Compton
716453,33.911105,-118.174619,105,E,3.0,24.28477,Compton
760226,33.923785,-118.207757,105,E,2.5,24.28477,Compton
765476,33.928419,-118.277962,105,E,7.37,24.28477,Compton
760167,33.928407,-118.277789,105,E,7.36,24.28477,Compton
760178,33.927289,-118.263121,105,E,6.09,24.28477,Compton
760442,33.925127,-118.330354,105,W,11.86,24.28477,Compton
716470,33.913689,-118.113948,105,E,8.51,24.28477,Compton
760139,33.927891,-118.273645,105,E,6.99,24.28477,Compton
760572,33.924777,-118.209134,105,W,2.63,24.28477,Compton
716459,33.912441,-118.155588,105,W,4.72,24.28477,Compton
760369,33.91352,-118.122596,105,W,7.72,24.28477,Compton
763716,33.929386,-118.220032,105,W,3.41,24.28477,Compton
760375,33.913234,-118.12779,105,W,7.25,24.28477,Compton
760110,33.925162,-118.323479,105,E,11.25,24.28477,Compton
760074,33.933294,-118.351898,105,E,14.01,24.28477,Compton
760490,33.928915,-118.285761,105,W,8.06,24.28477,Compton
767838,33.931513,-118.361927,105,E,14.86,24.28477,Compton
768914,33.876234,-118.104961,91,E,9.03,34.812121,Long Beach-Route 710 Near Road
717435,33.876583,-118.075397,91,W,11.72,34.812121,Long Beach-Route 710 Near Road
717439,33.876366,-118.070702,91,E,12.15,34.812121,Long Beach-Route 710 Near Road
717393,33.876009,-118.191574,91,E,2.0,34.812121,Long Beach-Route 710 Near Road
759990,33.876119,-118.065686,91,W,11.77,20.272145,La Habra
768229,33.87249,-118.059386,91,E,11.46,20.272145,La Habra
717434,33.876324,-118.080425,91,E,11.26,34.812121,Long Beach-Route 710 Near Road
717402,33.875898,-118.166089,91,E,3.67,34.812121,Long Beach-Route 710 Near Road
766555,33.873627,-118.060623,91,W,11.49,20.272145,La Habra
717416,33.877201,-118.142032,91,W,5.76,34.812121,Long Beach-Route 710 Near Road
717383,33.873494,-118.219285,91,E,2.3,34.812121,Long Beach-Route 710 Near Road
773381,33.873543,-118.197523,91,E,1.57,34.812121,Long Beach-Route 710 Near Road
716272,33.872586,-118.289005,91,E,8.28,34.812121,Long Beach-Route 710 Near Road
717404,33.876117,-118.161745,91,W,4.04,34.812121,Long Beach-Route 710 Near Road
768228,33.872702,-118.059283,91,W,11.44,20.272145,La Habra
716273,33.872636,-118.2812,91,E,7.57,34.812121,Long Beach-Route 710 Near Road
717424,33.87621,-118.126705,91,W,7.08,34.812121,Long Beach-Route 710 Near Road
717433,33.87657,-118.080438,91,W,11.26,34.812121,Long Beach-Route 710 Near Road
717376,33.873496,-118.251545,91,E,4.94,34.812121,Long Beach-Route 710 Near Road
717436,33.876358,-118.074686,91,E,11.78,34.812121,Long Beach-Route 710 Near Road
717367,33.872471,-118.27074,91,E,6.62,34.812121,Long Beach-Route 710 Near Road
716296,33.876767,-118.177981,91,E,2.83,34.812121,Long Beach-Route 710 Near Road
717390,33.872655,-118.203751,91,E,1.47,34.812121,Long Beach-Route 710 Near Road
759989,33.876583,-118.075397,91,W,11.72,34.812121,Long Beach-Route 710 Near Road
759992,33.86603,-118.049777,91,E,11.01,19.807671,Anaheim
759967,33.875898,-118.166089,91,E,3.67,34.812121,Long Beach-Route 710 Near Road
717410,33.877126,-118.153353,91,W,4.78,34.812121,Long Beach-Route 710 Near Road
759975,33.876324,-118.080425,91,E,11.26,34.812121,Long Beach-Route 710 Near Road
768898,33.876002,-118.126736,91,E,7.07,34.812121,Long Beach-Route 710 Near Road
773365,33.862383,-118.04237,91,W,10.23,19.807671,Anaheim
717426,33.87605,-118.122915,91,E,7.41,34.812121,Long Beach-Route 710 Near Road
773363,33.862202,-118.042466,91,E,10.23,19.807671,Anaheim
717440,33.876119,-118.065686,91,W,11.77,20.272145,La Habra
765467,33.876929,-118.149691,91,E,5.09,34.812121,Long Beach-Route 710 Near Road
717045,34.037067,-118.286318,10,W,6.38,29.330532,Los Angeles-North Main Street
