sensor_id,freeway,pollutant,distance_km,baseline_mean,units,monitor_site
716939,5,Nitrogen dioxide (NO2),2.91,29.330532,Parts per billion,Los Angeles-North Main Street
716939,5,Ozone,2.91,0.051825,Parts per million,Los Angeles-North Main Street
716939,5,PM2.5 - Local Conditions,2.91,12.163636,Micrograms/cubic meter (LC),Los Angeles-North Main Street
716939,5,Carbon monoxide,2.91,0.393321,Parts per million,Los Angeles-North Main Street
759700,5,Nitrogen dioxide (NO2),5.84,29.330532,Parts per billion,Los Angeles-North Main Street
759700,5,Ozone,5.84,0.051825,Parts per million,Los Angeles-North Main Street
759700,5,PM2.5 - Local Conditions,5.84,12.163636,Micrograms/cubic meter (LC),Los Angeles-North Main Street
759700,5,Carbon monoxide,5.84,0.393321,Parts per million,Los Angeles-North Main Street
716925,5,Nitrogen dioxide (NO2),7.21,27.433058,Parts per billion,Pico Rivera #2
716925,5,Ozone,7.21,0.056825,Parts per million,Pico Rivera #2
716925,5,PM2.5 - Local Conditions,7.21,12.610656,Micrograms/cubic meter (LC),Pico Rivera #2
716925,5,Carbon monoxide,7.21,0.359784,Parts per million,Pico Rivera #2
715930,5,Nitrogen dioxide (NO2),6.6,27.433058,Parts per billion,Pico Rivera #2
715930,5,Ozone,6.6,0.056825,Parts per million,Pico Rivera #2
715930,5,PM2.5 - Local Conditions,6.6,12.610656,Micrograms/cubic meter (LC),Pico Rivera #2
715930,5,Carbon monoxide,6.6,0.359784,Parts per million,Pico Rivera #2
715938,5,Nitrogen dioxide (NO2),7.65,27.433058,Parts per billion,Pico Rivera #2
715938,5,Ozone,7.65,0.056825,Parts per million,Pico Rivera #2
715938,5,PM2.5 - Local Conditions,7.65,12.610656,Micrograms/cubic meter (LC),Pico Rivera #2
715938,5,Carbon monoxide,7.65,0.359784,Parts per million,Pico Rivera #2
716908,5,Nitrogen dioxide (NO2),11.04,27.433058,Parts per billion,Pico Rivera #2
716908,5,Ozone,11.04,0.056825,Parts per million,Pico Rivera #2
716908,5,PM2.5 - Local Conditions,11.04,12.610656,Micrograms/cubic meter (LC),Pico Rivera #2
716908,5,Carbon monoxide,11.04,0.359784,Parts per million,Pico Rivera #2
716912,5,Nitrogen dioxide (NO2),10.04,27.433058,Parts per billion,Pico Rivera #2
716912,5,Ozone,10.04,0.056825,Parts per million,Pico Rivera #2
716912,5,PM2.5 - Local Conditions,10.04,12.610656,Micrograms/cubic meter (LC),Pico Rivera #2
716912,5,Carbon monoxide,10.04,0.359784,Parts per million,Pico Rivera #2
759707,5,Nitrogen dioxide (NO2),5.03,29.330532,Parts per billion,Los Angeles-North Main Street
759707,5,Ozone,5.03,0.051825,Parts per million,Los Angeles-North Main Street
759707,5,PM2.5 - Local Conditions,5.03,12.163636,Micrograms/cubic meter (LC),Los Angeles-North Main Street
759707,5,Carbon monoxide,5.03,0.393321,Parts per million,Los Angeles-North Main Street
716930,5,Nitrogen dioxide (NO2),8.13,29.330532,Parts per billion,Los Angeles-North Main Street
